product_sku,quantity,unit_price,sold_at,channel
HUILE-1L,3,1500,2026-08-25T09:00:00+00:00,manual
HUILE-1L,2,1500,2026-08-26T11:30:00+00:00,csv
RIZ-5KG,4,3000,2026-08-26T16:00:00+00:00,csv
PAIN,10,250,2026-08-27T08:00:00+00:00,manual
SAVON,6,400,2026-08-28T10:00:00+00:00,csv
EAU-15L,12,300,2026-08-29T18:00:00+00:00,csv
HUILE-1L,1,1500,2026-08-30T09:15:00+00:00,manual
RIZ-5KG,1,3000,2026-08-31T14:00:00+00:00,csv
PAIN,8,250,2026-09-01T08:10:00+00:00,manual
EAU-15L,20,300,2026-09-02T19:00:00+00:00,csv
SAVON,2,400,2026-09-03T11:00:00+00:00,manual
HUILE-1L,5,1400,2026-09-04T17:00:00+00:00,csv
RIZ-5KG,2,3000,2026-09-05T13:00:00+00:00,manual
PAIN,4,250,2026-09-06T08:00:00+00:00,csv
EAU-15L,3,300,2026-09-07T12:00:00+00:00,manual
HUILE-1L,1,1500,2026-09-08T10:00:00+00:00,csv
